Sample No.;Reference;V (PbBr2 prec.);c (PbBr2);c (OlAm);c (OA);V (Cs-OA);c (Cs-OA);Cs/Pb;antisolvent;V (antisolvent);Cp;RP (antisolvent);perovskite ?;n (ML);NC shape;monodispersity;PLQY;suggestion;include PLQY;S/P;Age of prec
102;VM74;1125;0.01;0.02128;0.02835;375;0.02;0.67;EtAc;2000;;0.228;1;3;?;1;0;;;P;-
103;VM75;1125;0.01;0.02128;0.02835;375;0.02;0.67;MeAc;2000;;0.253;1;3;?;1;0;;;P;-
104;VM76;1125;0.01;0.02128;0.02835;375;0.02;0.67;EtOH;2000;;0.654;1;12;?;1;0;;;P;-
105;VM77;1125;0.01;0.02128;0.02835;375;0.02;0.67;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
106;VM78;1000;0.01;0.02128;0.02835;500;0.02;1;EtOH;2000;;0.654;1;12;?;0;0;;;P;-
107;VM79;1000;0.01;0.02128;0.02835;500;0.02;1;MeOH;2000;;0.762;1;12;NC;1;0;;;P;-
108;VM80;1000;0.01;0.02128;0.02835;500;0.02;1;MeAc;2000;;0.253;1;3;?;1;0;;;P;-
109;VM81;1000;0.01;0.02128;0.02835;500;0.02;1;EtAc;2000;;0.228;1;3;?;1;0;;;P;-
110;VM87;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;125;;0.762;1;3;?;1;0;;;P;-
111;VM88;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;250;;0.762;1;3;NPL;1;0;;;P;-
112;VM89;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;375;;0.762;1;3;NPL;1;0;;;P;-
113;VM90;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;500;;0.762;1;3;NPL;1;0;;;P;-
114;VM91;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;625;;0.762;1;3;(NPL);1;0;;;P;-
115;VM92;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;750;;0.762;1;4;(NPL);1;0;;;P;-
116;VM93;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;875;;0.762;1;5;(NPL);1;0;;;P;-
117;VM94;1500;0.01;0.02128;0.02835;75;0.02;0.1;MeOH;1000;;0.762;1;5;(NPL);1;0;;;P;-
118;VM95;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;250;;0.654;1;3;?;1;0;;;P;-
119;VM96;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;500;;0.654;1;3;NPL;1;0;;;P;-
120;VM97;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;750;;0.654;1;3;NPL;1;0;;;P;-
121;VM98;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;1000;;0.654;1;3;NPL;1;0;;;P;-
122;VM99;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;1250;;0.654;1;3;(NPL);1;0;;;P;-
123;VM100;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;1500;;0.654;1;3;(NPL);1;0;;;P;-
124;VM101;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;1750;;0.654;1;3;(NPL);1;0;;;P;-
125;VM102;1500;0.01;0.02128;0.02835;150;0.02;0.2;EtOH;2000;;0.654;1;4;(NPL);1;0;;;P;-
126;231028;1500;0.01;0.02128;0.02835;75;0.02;0.1;Ac;2000;;0.355;1;3;NR;1;0;;;P;-
