;Unnamed: 0;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos;baseline;artificial
66;116;118;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.05;1.0;1.0;0.0;P;3.0;15.0;4282.5;0.2;0.02855;0.0083333333333333;0.08991794987074295;118.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1043636363636362;457.0;False;False
67;117;119;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.1;1.0;1.0;0.0;P;3.0;15.0;8565.0;0.2;0.0571;0.0166666666666666;0.11801730920535011;119.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0952705670567057;458.00000000000006;False;False
68;118;120;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.15;1.0;1.0;0.0;P;3.0;15.0;12847.5;0.2;0.0856499999999999;0.025;0.14611666853995728;120.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0849375337533753;460.0;False;False
69;119;121;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.2;1.0;1.0;0.0;P;3.0;15.0;17130.0;0.2;0.1142;0.0333333333333333;0.17421602787456447;121.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0904140414041405;460.0;False;False
70;120;122;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.25;1.0;1.0;0.0;P;3.0;15.0;21412.5;0.2;0.14275;0.0416666666666666;0.20231538720917164;122.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.0947539153915388;460.0;False;False
71;121;123;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.3;1.0;1.0;0.0;P;3.0;15.0;25695.0;0.2;0.1712999999999999;0.05;0.2304147465437788;123.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1024003600360035;462.0;False;False
72;122;124;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.35;1.0;1.0;0.0;P;3.0;15.0;29977.5;0.2;0.19985;0.0583333333333333;0.25851410587838597;124.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1317461746174619;467.0;False;False
73;123;125;0.2806652806652807;0.09090909090909091;0.23076923076923078;0.07079646017699115;EtOH;0.4;1.0;1.0;0.0;P;3.0;15.0;34260.0;0.2;0.2284;0.0666666666666666;0.28661346521299313;125.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.1340194419441944;473.0;False;False
74;127;129;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.15929203539823011;Tol;0.0;1.0;1.0;0.0;P;3.0;15.0;0.0;0.2;0.0;0.0;0.05338878273575363;129.txt;Toluene;[1.0, 0.0, 0.0, 0.0, 0.0];0.0792543654365438;429.0;False;False
75;129;131;0.2806652806652807;0.09090909090909091;0.10256410256410256;0.4247787610619469;Tol;0.0;1.0;0.0;0.0;P;7.5;15.0;0.0;0.5;0.0;0.0;0.05338878273575363;131.txt;Toluene;[1.0, 0.0, 0.0, 0.0, 0.0];0.1148000000000002;461.0;False;False
76;143;147;0.22765072765072766;0.6262626262626262;0.7965811965811965;0.0;CyPen;0.206;1.0;0.0;0.194;P;1.924;78.435;11628.7;0.0245298654937209;0.0148259068018104;0.0535343035343035;0.1861301562324379;147.txt;Cyclopentanone;[0.0, 1.0, 0.5, 1.0, 2.0];0.1474523852385241;459.0;False;False
77;150;154;0.24532224532224534;0.09090909090909091;0.018803418803418803;0.02964601769911504;i-PrOH;0.76;1.0;1.0;0.104;P;0.2782;13.3;49704.0;0.0209172932330827;0.3737142857142857;1.365923795830338;0.45588400584466676;154.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.1074635463546354;463.0;False;False
78;155;160;0.18607068607068608;0.09090909090909091;0.8273504273504273;0.060619469026548675;MeOH;0.1448;1.0;1.0;0.0254;P;8.8323;10.45;17853.84;0.8451961722488037;0.1708501435406698;0.0081971853311142;0.13128020681128472;160.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0778077407740776;516.0;False;False
79;173;178;0.8076923076923077;0.09090909090909091;0.22564102564102564;1.0;MeOH;0.169;1.0;1.0;0.0676;P;33.81;40.35;20837.7;0.837918215613383;0.0516423791821561;0.0024992605737947;0.44138473642800946;178.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.0745011701170117;514.0;False;False
80;174;179;0.10914760914760915;0.09090909090909091;0.3111111111111111;0.04070796460176991;n-BuOH;0.224;1.0;1.0;0.2232;P;2.6004;6.75;12208.0;0.3852444444444444;0.1808592592592592;0.0430702968774034;0.10025851410587838;179.txt;Butanol;[1.0, 0.0, 0.4, 0.0, 0.0];0.090930693069307;456.0;False;False
81;175;180;0.11330561330561331;0.09090909090909091;0.4;0.05884955752212389;i-PrOH;0.231;1.0;0.0;0.6324;P;4.3077;6.95;15107.4;0.6198129496402877;0.2173726618705036;0.0268124521206212;0.11228503990109026;180.txt;Isopropanol;[1.0, 0.0, 0.30000000000000004, 0.0, 1.0];0.2740320432043202;495.0;False;False
