;Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P;n_Cs;n_Pb;n_As;Cs_Pb_ratio;AS_Pb_ratio;AS_Cs_ratio;V_total;PL_data;molecule_name;encoding;fwhm;peak_pos
99;101;1200;0.01;300.0;0.02;MeOH;1000;1.0;1.0;0.0;P;6.0;12.0;24660.0;0.5;0.2055;0.016666666666666666;2500.0;101.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.07863438343834384;515.0
102;104;1125;0.01;375.0;0.02;EtOH;2000;1.0;1.0;0.0;P;7.5;11.25;34260.0;0.6666666666666666;0.3045333333333333;0.02666666666666667;3500.0;104.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.13257281728172776;514.0
103;105;1125;0.01;375.0;0.02;MeOH;2000;1.0;1.0;0.0;P;7.5;11.25;49320.0;0.6666666666666666;0.4384;0.02666666666666667;3500.0;105.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.07636111611161134;516.0
104;106;1000;0.01;500.0;0.02;EtOH;2000;1.0;0.0;0.0;P;10.0;10.0;34260.0;1.0;0.34259999999999996;0.02;3500.0;106.txt;Ethanol;[1.0, 0.0, 0.2, 0.0, 0.0];0.10550027002700268;515.0
105;107;1000;0.01;500.0;0.02;MeOH;2000;1.0;1.0;0.0;P;10.0;10.0;49320.0;1.0;0.4932;0.02;3500.0;107.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.07563780378037821;516.0
108;110;1500;0.01;75.0;0.02;MeOH;125;1.0;1.0;0.0;P;1.5;15.0;3082.5;0.1;0.020550000000000002;0.008333333333333333;1700.0;110.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.11418001800180022;455.0
109;111;1500;0.01;75.0;0.02;MeOH;250;1.0;1.0;0.0;P;1.5;15.0;6165.0;0.1;0.041100000000000005;0.016666666666666666;1825.0;111.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.1083935193519352;458.99999999999994
110;112;1500;0.01;75.0;0.02;MeOH;375;1.0;1.0;0.0;P;1.5;15.0;9247.5;0.1;0.06165;0.025;1950.0;112.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.08545418541854177;461.0
111;113;1500;0.01;75.0;0.02;MeOH;500;1.0;1.0;0.0;P;1.5;15.0;12330.0;0.1;0.08220000000000001;0.03333333333333333;2075.0;113.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.08762412241224116;461.0
112;114;1500;0.01;75.0;0.02;MeOH;625;1.0;1.0;0.0;P;1.5;15.0;15412.5;0.1;0.10275;0.041666666666666664;2200.0;114.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.14331917191719157;462.0
113;115;1500;0.01;75.0;0.02;MeOH;750;1.0;1.0;0.0;P;1.5;15.0;18495.0;0.1;0.1233;0.05;2325.0;115.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.12337641764176421;479.0
114;116;1500;0.01;75.0;0.02;MeOH;875;1.0;1.0;0.0;P;1.5;15.0;21577.5;0.1;0.14385;0.058333333333333334;2450.0;116.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.12399639963996423;484.99999999999994
115;117;1500;0.01;75.0;0.02;MeOH;1000;1.0;1.0;0.0;P;1.5;15.0;24660.0;0.1;0.16440000000000002;0.06666666666666667;2575.0;117.txt;Methanol;[1.0, 0.0, 0.1, 0.0, 0.0];0.12316975697569754;487.0
