Sample No.;V (PbBr2 prec.);c (PbBr2);V (Cs-OA);c (Cs-OA);antisolvent;V (antisolvent);perovskite ?;monodispersity;PLQY;S/P
221;3615;0.0038;171.0;0.02;MeOH;995;1.0;1.0;0.6156;P
222;4820;0.0032;490.0;0.02;n-PrOH;4435;1.0;1.0;0.254;S
223;2185;0.0047;255.0;0.02;MeOH;620;1.0;1.0;0.6558;P
224;1000;0.01;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
225;1000;0.005;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
226;1000;0.0033;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
227;1000;0.0025;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
228;1000;0.002;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
229;1000;0.0066;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
230;1000;0.004;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
231;1000;0.0029;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
232;1000;0.02;100.0;0.02;CyPen;1335;1.0;1.0;0.0;S
233;1000;0.0066;100.0;0.02;CyPen;1500;1.0;1.0;0.0;S
234;1000;0.0066;100.0;0.02;CyPen;1750;1.0;1.0;0.0;S
235;1000;0.0066;100.0;0.02;CyPen;2000;1.0;1.0;0.0;S
236;1500;0.0066;150.0;0.02;CyPen;1125;1.0;1.0;0.0;S
237;1500;0.0066;150.0;0.02;CyPen;750;1.0;1.0;0.0;S
238;1000;0.0066;100.0;0.02;CyPen;1250;1.0;1.0;0.0;S
239;750;0.0066;75.0;0.02;CyPen;2000;1.0;1.0;0.0;S
240;1000;0.0066;100.0;0.02;CyPen;1000;1.0;1.0;0.0;S
241;1000;0.0066;100.0;0.02;CyPen;2000;1.0;1.0;0.3196;S
242;1000;0.01;100.0;0.02;CyPen;1500;1.0;1.0;0.0;S
243;1000;0.01;100.0;0.02;CyPen;1225;1.0;1.0;0.0;S
244;750;0.02;75.0;0.02;CyPen;1840;1.0;1.0;0.0;S
245;1000;0.01;100.0;0.02;CyPen;1225;1.0;1.0;0.1761;S
246;769;0.0034;20.0;0.02;EtAc;3990;1.0;1.0;0.0596;P
247;829;0.015;330.0;0.02;n-PrOH;635;1.0;1.0;0.162;S
248;3690;0.0018;49.0;0.02;MeOH;752;1.0;1.0;0.5541;S
249;4935;0.0025;497.0;0.02;n-BuOH;3400;1.0;1.0;0.5796;S
250;3380;0.0031;217.0;0.02;n-BuOH;3490;1.0;1.0;0.1684;S
251;4875;0.002;374.0;0.02;n-BuOH;3630;1.0;1.0;0.6075;S
252;4390;0.0029;265.0;0.02;n-BuOH;3890;1.0;1.0;0.1546;S
253;4955;0.001;204.0;0.02;n-BuOH;3635;1.0;1.0;0.4226;S
254;3850;0.0023;190.0;0.02;n-BuOH;4105;1.0;1.0;0.3713;S
255;4915;0.0013;137.0;0.02;n-BuOH;4945;1.0;1.0;0.5442;S
256;4400;0.0062;455.0;0.02;n-BuOH;4405;1.0;1.0;0.2795;P
257;4400;0.0062;455.0;0.02;n-BuOH;4405;1.0;1.0;0.1692;S
258;3850;0.0023;190.0;0.02;n-BuOH;4105;1.0;1.0;0.5699;P
259;4915;0.0013;137.0;0.02;n-BuOH;4945;1.0;1.0;0.5442;P
260;4955;0.001;204.0;0.02;n-BuOH;3635;1.0;1.0;0.4631;P
261;829;0.015;330.0;0.02;n-PrOH;635;1.0;1.0;0.0561;P
262;4935;0.0025;497.0;0.02;n-BuOH;3400;1.0;1.0;0.0512;P
263;3380;0.0031;217.0;0.02;n-BuOH;3490;1.0;1.0;0.2924;P
264;4875;0.002;374.0;0.02;n-BuOH;3630;1.0;1.0;0.224;P
j1;2000;0.01;200.0;0.02;CyPen;2450;1.0;1.0;0.1551;S
j2;2000;0.01;200.0;0.02;EtOH;500;1.0;0.0;0.24;-
j3;2000;0.01;200.0;0.02;EtOH;1000;1.0;1.0;0.105;-
j4;1000;0.01;100.0;0.02;EtOH;1000;1.0;1.0;0.137;-
j5;1000;0.01;100.0;0.02;EtOH;1500;1.0;1.0;0.186;-
j6;1000;0.01;100.0;0.02;EtOH;2000;1.0;0.0;0.514;-
j7;1000;0.01;100.0;0.02;EtOH;2500;1.0;1.0;0.431;-
j8;1000;0.02;100.0;0.02;EtOH;2000;1.0;1.0;0.0798;-
j9;1000;0.02;100.0;0.02;EtOH;4000;1.0;0.0;0.2473;-
j10;1000;0.01;100.0;0.02;EtOH;1750;1.0;1.0;0.2131;-
j11;1000;0.01;50.0;0.02;EtOH;2000;1.0;1.0;0.2072;-
j14;4691;0.0034;248.58;0.02;EtOH;892;1.0;1.0;0.2732;S
j15;3485;0.00606;196.0;0.02;MeOH;962;1.0;0.0;0.1371;-
j16;3145;0.00696;174.0;0.02;MeOH;2366;1.0;1.0;0.4685;P
j17;3035;0.0021;165.0;0.02;n-BuOH;3295;1.0;1.0;0.1338;P
j18;2665;0.00477;356.0;0.02;n-BuOH;3265;1.0;1.0;0.1417;P
j19;2385;0.074;68.0;0.02;n-BuOH;4435;1.0;1.0;0.3161;P
j20;3331;0.0076;441.0;0.02;n-BuOH;4413;1.0;1.0;0.164;P
j21;637;0.01;165.0;0.02;n-BuOH;3295;1.0;1.0;0.1673;P
j22;675;0.047;169.0;0.02;EtOH;4435;1.0;1.0;0.7726;P
j23;4787;0.002;368.0;0.02;n-PrOH;1705;1.0;1.0;0.545;S
j24;4155;0.00409;288.0;0.02;n-PrOH;3185;1.0;0.0;0.2357;-
j25;2895;0.0031;242.0;0.02;n-BuOH;2215;1.0;0.0;0.2074;P
j26;150;0.1;100.0;0.02;n-BuOH;3300;1.0;1.0;0.7;P
j27;400;0.06;270.0;0.02;n-PrOH;3900;1.0;0.0;0.0;P
j28;740;0.032432432;270.0;0.02;n-PrOH;3900;1.0;1.0;0.2;P
j29;2240;0.010714286;270.0;0.02;n-PrOH;3900;1.0;1.0;0.09;S
j30;1662;0.01;288.0;0.02;n-PrOH;3185;1.0;1.0;0.19;S
j32;740;0.032432432;270.0;0.02;n-BuOH;4800;1.0;1.0;0.4254;S
j33;666;0.032432432;243.0;0.02;n-BuOH;4968;1.0;0.0;0.2473;P
j34;592;0.032432432;216.0;0.02;n-BuOH;4800;1.0;1.0;0.1953;S
j35;150;0.1;100.0;0.02;n-BuOH;3300;1.0;1.0;0.2107;P
j36;675;0.047407407;169.0;0.02;EtOH;4435;1.0;1.0;0.569;P
j37;500;0.01;100.0;0.02;HexOH;1000;1.0;1.0;0.2838;P
j38;500;0.01;100.0;0.02;HexOH;1625;1.0;1.0;0.343;S
j39;500;0.01;100.0;0.02;HexOH;2000;1.0;1.0;0.4331;S
j40;150;0.1;100.0;0.02;n-BuOH;3300;1.0;0.0;0.27;P
j41;500;0.01;100.0;0.02;HexOH;2500;1.0;1.0;0.406;S
j42;500;0.01;100.0;0.02;HexOH;3000;1.0;1.0;0.5164;S
j43;500;0.01;100.0;0.02;HexOH;3500;1.0;1.0;0.6289;P
j44;4606;0.001;538.0;0.02;EtOH;620;1.0;0.0;0.5848;-
j45;3646;0.0059;20.0;0.02;EtOH;3935;1.0;0.0;0.9162;S
265;1000;0.01;100.0;0.02;OctOH;2500;1.0;1.0;0.1525;S
266;1000;0.01;100.0;0.02;OctOH;2500;1.0;1.0;0.1316;P
267;1000;0.01;100.0;0.02;OctOH;3500;1.0;1.0;0.1882;S
268;1000;0.01;100.0;0.02;OctOH;3500;1.0;0.0;0.3054;P
269;1000;0.01;100.0;0.02;OctOH;3750;1.0;1.0;0.1605;S
270;1000;0.01;100.0;0.02;OctOH;3750;1.0;0.0;0.4118;P
271;1000;0.01;100.0;0.02;OctOH;4000;1.0;1.0;0.179;S
272;1000;0.01;100.0;0.02;OctOH;4000;1.0;1.0;0.4217;P
273;1000;0.01;100.0;0.02;OctOH;5000;1.0;1.0;0.2399;S
274;1000;0.01;100.0;0.02;OctOH;5000;1.0;0.0;0.8361;P
275;1000;0.01;100.0;0.04;i-PrOH;2000;1.0;1.0;0.4129;P
276;1000;0.01;100.0;0.04;i-PrOH;2500;1.0;1.0;0.3904;P
277;1000;0.01;100.0;0.04;i-PrOH;3000;1.0;0.0;0.5176;P
278;1000;0.01;100.0;0.04;i-PrOH;3500;1.0;0.0;0.6097;P
279;1000;0.01;100.0;0.04;i-PrOH;4000;1.0;1.0;0.6475;P
280;1000;0.01;100.0;0.04;i-PrOH;5000;1.0;1.0;0.5182;P
281;1000;0.01;100.0;0.04;i-PrOH;1700;1.0;1.0;0.1554;S
282;1000;0.01;100.0;0.04;i-PrOH;1700;1.0;1.0;0.3082;P
283;1000;0.01;100.0;0.04;i-PrOH;2750;1.0;0.0;0.4178;P
284;1000;0.01;100.0;0.04;i-PrOH;4500;1.0;1.0;0.5968;P
